	id	acousticness	danceability	duration_ms	energy	instrumentalness	key	liveness	loudness	speechiness	tempo	valence	genre
17	Varyags Of Miklagaard	2.06e-05	0.502	258187	0.98	0.0256	4	0.102	-4.479	0.0591	121.962	0.392	metal
18	Blood Eagle	7.2e-05	0.385	195800	0.974	0.669	11	0.394	-4.765	0.122	185.056	0.268	metal
19	Wrath of the Norsemen	0.000171	0.502	224173	0.968	0.203	6	0.0533	-5.791	0.0564	141.04	0.454	metal
20	Wanderer	0.000114	0.536	282973	0.855	0.613	11	0.766	-5.874	0.0354	124.984	0.336	metal
21	Runes To My Memory	3.22e-05	0.485	272693	0.991	0.107	4	0.414	-3.563	0.0855	125.991	0.0366	metal
22	Live For The Kill	0.000125	0.338	249707	0.957	0.451	4	0.304	-5.314	0.0856	177.083	0.132	metal
23	Shape Shifter	5.6e-05	0.431	242507	0.982	0.422	9	0.0603	-4.371	0.0757	162.031	0.269	metal
24	Slaves of Fear	2.17e-05	0.329	265067	0.984	0.00386	11	0.233	-5.652	0.0742	196.043	0.241	metal
25	One Thousand Burning Arrows	0.000129	0.516	349840	0.875	0.217	4	0.311	-6.053	0.0444	119.992	0.261	metal
26	Gods Of War Arise	2.76e-06	0.424	362373	0.976	0.898	11	0.0662	-4.698	0.0733	124.458	0.258	metal
27	Death in Fire	1.25e-06	0.479	294893	0.986	0.634	4	0.117	-3.92	0.18	130.015	0.164	metal
28	We Shall Destroy	2.12e-05	0.459	265533	0.983	0.471	7	0.0856	-4.907	0.0594	121.43	0.315	metal
29	Tock's Taunt - Loke's Treachery Part II	2.83e-05	0.296	358587	0.98	0.56	2	0.0804	-5.787	0.114	177.225	0.228	metal
30	With Oden On Our Side	2.89e-05	0.402	274573	0.958	0.0838	4	0.0384	-4.883	0.131	128.093	0.192	metal
31	One Against All	4.43e-05	0.496	217987	0.876	0.658	1	0.11	-5.216	0.041	145.034	0.525	metal
32	Fate Of Norns	1.51e-05	0.241	357493	0.966	0.548	1	0.0916	-3.212	0.0975	129.744	0.273	metal
33	Live Without Regrets	2.44e-05	0.458	303253	0.994	0.0369	1	0.307	-5.652	0.0818	127.659	0.156	metal
34	Under The Northern Star	1.04e-05	0.378	257333	0.929	0.75	4	0.184	-5.603	0.054	143.006	0.447	metal
35	The Last With Pagan Blood	1.45e-05	0.411	339293	0.972	0.435	6	0.442	-5.929	0.0786	112.07	0.0385	metal
36	Versus the World	1.88e-06	0.449	321347	0.978	0.792	3	0.0853	-4.418	0.181	131.96	0.0753	metal
37	An Ancient Sign Of Coming Storm	1.7e-05	0.508	278533	0.939	0.586	11	0.0978	-3.585	0.0987	125.713	0.241	metal
38	For Victory or Death	4.3e-05	0.349	270093	0.993	0.0155	7	0.0695	-5.698	0.0732	186.907	0.335	metal
39	Victorious March	2.22e-06	0.372	475853	0.984	0.0315	0	0.119	-4.349	0.0642	130.36	0.119	metal
40	For the Stabwounds in Our Backs	1.65e-06	0.423	296253	0.987	0.926	11	0.153	-4.219	0.161	95.053	0.0692	metal
41	Vengeance Is My Name	2.27e-05	0.5	281813	0.923	0.409	9	0.44	-5.323	0.0503	121.034	0.347	metal
42	Back on Northern Shores	5.41e-05	0.331	428520	0.945	0.719	9	0.071	-5.395	0.059	109.935	0.136	metal
43	Valkyries Ride	1.29e-05	0.515	297213	0.935	0.00962	7	0.104	-3.687	0.058	123.7	0.195	metal
44	Across the Rainbow Bridge	1.97e-06	0.509	289360	0.976	0.785	4	0.0673	-4.746	0.0918	118.133	0.264	metal
45	The Beheading Of A King	7.48e-06	0.499	203787	0.977	0.737	2	0.0879	-2.856	0.0765	139.698	0.365	metal
46	Thousand Years of Oppression	4.04e-06	0.477	341280	0.977	0.893	2	0.0681	-4.531	0.0919	127.964	0.155	metal
47	At Dawn's First Light	5.59e-05	0.273	230787	0.904	0.536	4	0.277	-5.082	0.0657	119.899	0.329	metal
48	Asator	6.56e-06	0.308	184067	0.926	0.511	2	0.0863	-4.034	0.0643	180.041	0.264	metal
49	Where Death Seems To Dwell	6.76e-06	0.416	298173	0.981	0.0849	6	0.0527	-3.662	0.0792	144.611	0.0735	metal
50	Where Silent Gods Stand Guard	2.79e-06	0.502	346933	0.957	0.751	3	0.119	-3.976	0.0946	126.068	0.291	metal
51	One For The Road	0.00662	0.648	274733	0.383	0.78	11	0.109	-12.971	0.0275	98.636	0.633	metal
52	Rocka Rolla	0.00152	0.574	182813	0.533	0.76	9	0.161	-12.197	0.0528	125.362	0.602	metal
53	Winter/deep Freeze/winter Retreat/cheater	0.0611	0.279	569600	0.445	0.744	2	0.115	-13.147	0.0537	92.975	0.161	metal
54	Never Satisfied	0.0338	0.287	290413	0.456	0.402	2	0.113	-12.671	0.0321	159.812	0.355	metal
55	Run Of The Mill	0.0535	0.533	513787	0.392	0.669	0	0.168	-13.661	0.0358	125.839	0.26	metal
56	Dying To Meet You	0.111	0.336	379360	0.386	0.667	11	0.167	-15.522	0.0489	159.425	0.285	metal
57	Cavier And Meths	0.0943	0.607	123480	0.396	0.606	2	0.0948	-20.537	0.0553	121.345	0.745	metal
58	Diamonds And Rust	0.228	0.377	194093	0.569	0.000967	0	0.126	-11.267	0.0406	139.532	0.333	metal
59	Victim Of Changes	0.0191	0.284	473560	0.329	0.35	11	0.103	-13.403	0.0323	74.563	0.213	metal
60	The Ripper	0.0158	0.401	170747	0.57	0.000114	2	0.403	-13.053	0.0493	145.567	0.567	metal
61	Dreamer Deceiver	0.0185	0.33	353720	0.302	0.293	4	0.64	-13.304	0.0297	107.127	0.2	metal
62	Deceiver	0.00878	0.426	162053	0.481	0.647	2	0.113	-11.883	0.0284	142.246	0.495	metal
63	Prelude	0.0338	0.34	121813	0.133	0.833	7	0.146	-19.49	0.03	82.316	0.123	metal
64	Tyrant	0.00255	0.362	267200	0.661	0.0246	11	0.122	-9.858	0.0376	93.496	0.591	metal
65	Genocide	0.0115	0.485	346493	0.644	0.000546	9	0.0857	-10.791	0.118	129.727	0.547	metal
66	Epitaph	0.896	0.431	187320	0.124	2.33e-06	0	0.14	-15.481	0.0367	104.588	0.282	metal
67	Island Of Domination	0.00963	0.291	263960	0.481	0.00256	11	0.136	-10.735	0.0433	72.059	0.346	metal
68	Sinner	0.00257	0.196	403000	0.923	0.00486	9	0.388	-3.58	0.0591	181.257	0.492	metal
69	Diamonds and Rust	0.0691	0.469	203533	0.875	0.0	4	0.102	-5.072	0.0951	134.357	0.377	metal
70	Starbreaker	0.00482	0.386	287973	0.847	1.15e-06	6	0.0509	-4.487	0.0965	142.73	0.765	metal
71	Last Rose of Summer	0.194	0.583	336027	0.495	1.99e-05	9	0.291	-7.415	0.0284	121.505	0.405	metal
72	Let Us Prey / Call for the Priest	0.000972	0.357	372693	0.938	0.000125	2	0.109	-5.055	0.0677	128.262	0.228	metal
73	Raw Deal	0.0485	0.251	358707	0.9	3.56e-05	2	0.439	-4.374	0.0539	165.602	0.443	metal
74	Here Come the Tears	0.0415	0.253	276240	0.516	0.0213	4	0.327	-7.126	0.0358	142.955	0.133	metal
75	Dissident Aggressor	0.00746	0.246	186093	0.979	0.199	9	0.865	-5.065	0.197	103.039	0.168	metal
76	Race with the Devil	0.0332	0.168	186400	0.79	0.0	0	0.218	-5.281	0.0469	76.836	0.446	metal
77	Jawbreaker - Live	0.000107	0.429	240800	0.94	0.472	4	0.978	-8.388	0.0828	103.765	0.172	metal
78	Exciter	0.0353	0.484	332027	0.877	0.0	9	0.0911	-5.749	0.111	130.156	0.267	metal
79	White Heat, Red Hot	0.00292	0.292	258867	0.865	3.45e-05	11	0.126	-6.545	0.0908	179.544	0.548	metal
80	Better by You, Better Than Me	0.0669	0.56	202600	0.865	0.0	2	0.648	-6.121	0.0465	98.38	0.545	metal
81	Stained Class	0.279	0.489	317973	0.773	0.0	6	0.126	-4.563	0.0487	138.21	0.398	metal
82	Invader	0.0985	0.368	249800	0.821	0.0	9	0.107	-6.384	0.0806	174.08	0.619	metal
83	Saints in Hell	0.0052	0.522	328400	0.807	0.000129	9	0.508	-6.052	0.0381	96.798	0.544	metal
84	Savage	0.00635	0.58	207067	0.863	0.0	4	0.293	-5.568	0.0478	119.86	0.44	metal
85	Beyond the Realms of Death	0.039	0.28	409800	0.714	3.26e-05	11	0.164	-5.653	0.0314	174.088	0.539	metal
86	Heroes End	0.0216	0.491	297733	0.88	0.0	9	0.253	-5.043	0.0791	140.057	0.57	metal
87	Fire Burns Below	0.0413	0.291	418427	0.624	0.00203	2	0.111	-8.093	0.0445	101.077	0.062	metal
88	Better by You, Better Than Me - Live	0.0369	0.463	220867	0.863	7.55e-05	2	0.797	-5.645	0.0464	103.32	0.19	metal
89	Delivering the Goods	0.0315	0.309	257800	0.876	8.33e-06	9	0.215	-5.664	0.106	157.966	0.47	metal
90	Rock Forever	0.000431	0.281	199760	0.868	0.0	2	0.291	-6.313	0.0853	165.992	0.388	metal
91	Evening Star	0.105	0.406	246373	0.761	0.0	0	0.155	-7.294	0.0763	133.51	0.302	metal
92	Hell Bent for Leather	0.00707	0.311	160867	0.867	2.14e-05	9	0.343	-6.43	0.19	192.622	0.281	metal
93	Take on the World	0.0309	0.595	180960	0.749	0.0	11	0.108	-8.844	0.262	178.818	0.511	metal
94	Burnin' Up	0.0255	0.451	246640	0.932	0.000105	9	0.0983	-6.8	0.158	110.515	0.165	metal
95	The Green Manalishi (With the Two Pronged Crown)	0.000738	0.554	202627	0.79	0.00413	9	0.341	-7.126	0.0696	124.338	0.598	metal
96	Killing Machine	0.00925	0.497	181773	0.905	3.49e-05	6	0.122	-6.893	0.134	88.486	0.613	metal
97	Running Wild	0.00534	0.404	177800	0.969	0.00184	9	0.574	-6.151	0.246	178.402	0.462	metal
98	Before the Dawn	0.644	0.46	203067	0.416	3.87e-06	4	0.108	-6.784	0.025	105.399	0.23	metal
99	Evil Fantasies	0.0853	0.422	253293	0.898	0.0	2	0.237	-5.753	0.0939	129.486	0.38	metal
100	Fight for Your Life	0.00334	0.505	244000	0.911	0.00207	9	0.0599	-6.467	0.086	136.304	0.526	metal
101	Riding on the Wind - Live	0.000202	0.358	195867	0.931	0.000233	9	0.858	-5.576	0.0636	91.036	0.57	metal
102	Exciter - Live	4.01e-05	0.266	338693	0.989	4.42e-05	7	0.173	-4.418	0.202	132.406	0.0996	metal
103	Running Wild - Live	0.000167	0.149	173440	0.985	0.00468	9	0.936	-4.207	0.119	188.174	0.25	metal
104	Sinner - Live	0.000125	0.139	451533	0.936	0.00246	9	0.797	-4.459	0.0554	93.862	0.223	metal
105	The Ripper - Live	0.00472	0.224	164400	0.971	0.000411	2	0.983	-5.313	0.225	164.486	0.345	metal
106	The Green Manalishi (With the Two Pronged Crown) - Live	4.14e-05	0.375	196267	0.944	0.0156	9	0.705	-4.905	0.0778	132.083	0.557	metal
107	Diamonds and Rust - Live	0.0027	0.252	210733	0.974	8.42e-06	9	0.795	-4.243	0.083	143.157	0.209	metal
108	Victim of Changes - Live	0.00132	0.339	432760	0.909	0.117	9	0.957	-5.349	0.0954	88.978	0.383	metal
109	Genocide - Live	0.000103	0.165	439507	0.991	0.00177	9	0.812	-4.761	0.111	154.939	0.0779	metal
110	Tyrant - Live	0.000133	0.179	272733	0.981	7.65e-05	11	0.974	-4.174	0.131	100.63	0.183	metal
111	Rock Forever - Live	8.76e-05	0.155	207693	0.985	1.4e-05	2	0.444	-3.563	0.101	165.394	0.261	metal
112	Delivering the Goods - Live	0.000668	0.271	247307	0.939	0.126	9	0.972	-4.715	0.123	167.238	0.552	metal
113	Hell Bent for Leather - Live	0.000218	0.323	160627	0.986	0.0471	9	0.398	-4.302	0.154	101.368	0.107	metal
114	Starbreaker - Live	0.000185	0.204	360000	0.987	0.000149	4	0.946	-4.714	0.349	159.201	0.178	metal
115	Rapid Fire	0.000267	0.375	248000	0.994	0.00075	2	0.316	-5.829	0.0902	135.431	0.259	metal
116	Metal Gods	0.0265	0.578	238293	0.854	0.00141	6	0.146	-6.558	0.0296	101.181	0.424	metal
117	Breaking the Law	0.024	0.362	153840	0.961	9.35e-06	2	0.159	-5.664	0.0857	164.019	0.491	metal
118	Grinder	0.0673	0.437	237800	0.881	4.05e-05	2	0.104	-4.934	0.0561	139.895	0.592	metal
119	United	0.278	0.633	215267	0.643	0.0	6	0.286	-6.791	0.0574	84.53	0.724	metal
120	You Don't Have to Be Old to Be Wise	0.0051	0.521	303360	0.931	5.01e-05	2	0.0581	-6.07	0.0529	135.68	0.495	metal
121	Living After Midnight	0.0136	0.61	210133	0.824	1.75e-06	4	0.0606	-6.046	0.0534	134.992	0.819	metal
122	The Rage	0.00441	0.344	284427	0.751	0.0285	9	0.133	-6.157	0.0718	153.422	0.553	metal
123	Steeler	0.00124	0.468	269107	0.981	0.264	9	0.294	-5.926	0.0467	105.012	0.438	metal
124	Red, White & Blue	0.000382	0.178	222840	0.628	6.85e-05	2	0.152	-8.267	0.0355	99.766	0.456	metal
125	Grinder - Live	9.8e-05	0.409	289200	0.876	0.0753	2	0.934	-8.453	0.0626	138.229	0.361	metal
126	Heading Out to the Highway	0.00635	0.444	225533	0.922	0.0	11	0.305	-4.519	0.0529	140.212	0.301	metal
127	Don't Go	0.00288	0.618	196933	0.527	1.28e-05	9	0.216	-4.616	0.0521	129.206	0.683	metal
128	Hot Rockin'	0.00432	0.357	195227	0.937	0.00839	7	0.0659	-3.963	0.112	171.426	0.504	metal
129	Turning Circles	0.0697	0.597	220893	0.822	0.000109	9	0.0599	-5.219	0.0524	122.272	0.662	metal
130	Desert Plains	0.000464	0.538	274867	0.923	0.00866	0	0.564	-5.154	0.0447	124.445	0.444	metal
131	Solar Angels	0.0184	0.368	243960	0.938	0.00629	9	0.0696	-3.632	0.0487	91.227	0.324	metal
132	You Say Yes	0.112	0.519	207600	0.842	0.000252	5	0.203	-3.915	0.0457	173.752	0.41	metal
133	All the Way	0.0726	0.445	222693	0.952	1.5e-06	9	0.556	-3.022	0.0549	144.575	0.704	metal
134	Troubleshooter	0.00716	0.644	240573	0.771	0.000246	9	0.27	-3.883	0.049	127.738	0.772	metal
135	On the Run	0.00845	0.305	223467	0.884	1.97e-05	2	0.391	-4.075	0.0506	152.682	0.355	metal
136	Thunder Road	0.0128	0.357	312000	0.79	0.00836	2	0.283	-7.068	0.044	152.047	0.141	metal
137	Desert Plains - Live	0.000695	0.325	308000	0.987	0.113	0	0.365	-4.205	0.252	152.514	0.0742	metal
138	The Hellion	3.31e-06	0.0752	39920	0.637	0.817	9	0.233	-7.469	0.0352	80.06	0.237	metal
139	Electric Eye	0.000716	0.437	222440	0.948	0.000261	4	0.146	-6.041	0.0554	96.72	0.361	metal
140	Riding on the Wind	0.0185	0.223	189733	0.94	0.0617	6	0.303	-5.12	0.116	179.123	0.469	metal
141	Bloodstone	0.0343	0.404	230867	0.948	5.18e-06	4	0.298	-6.334	0.0771	117.679	0.264	metal
142	(Take These) Chains	0.156	0.439	185120	0.886	0.0	8	0.172	-6.393	0.0614	129.33	0.236	metal
143	Pain and Pleasure	0.0012	0.415	253760	0.83	0.0	2	0.121	-6.657	0.0418	80.951	0.51	metal
144	Screaming for Vengeance	0.0118	0.375	283120	0.976	3.46e-06	9	0.527	-5.498	0.0895	112.813	0.208	metal
145	You've Got Another Thing Coming	0.00572	0.519	310080	0.833	4.33e-06	6	0.104	-6.947	0.0496	138.225	0.532	metal
146	Fever	0.00671	0.486	320253	0.696	0.000141	9	0.114	-7.557	0.0406	111.37	0.325	metal
147	Devil's Child	0.0013	0.488	286680	0.815	0.0	4	0.183	-5.985	0.0445	128.534	0.392	metal
148	Electric Eye - Live from the San Antonio Civic Center	0.000957	0.0777	264707	0.953	0.0488	9	0.718	-5.541	0.274	201.417	0.114	metal
149	Riding on the Wind - Live from the San Antonio Civic Center	0.000329	0.198	189773	0.956	0.388	11	0.947	-5.405	0.115	187.187	0.291	metal
150	You've Got Another Thing Coming - Live from the San Antonio Civic Center	0.0345	0.382	437573	0.929	0.204	6	0.966	-5.921	0.0568	144.354	0.327	metal
151	Cowboys From Hell	0.00437	0.415	243533	0.908	0.0345	2	0.082	-9.701	0.0765	114.816	0.437	metal
152	Primal Concrete Sledge	0.000117	0.38	133120	0.847	0.265	2	0.216	-12.352	0.0897	133.182	0.119	metal
153	Psycho Holiday	8.49e-06	0.291	319133	0.925	0.114	6	0.0733	-9.901	0.0714	104.12	0.233	metal
154	Heresy	3.45e-05	0.304	286693	0.912	0.853	11	0.113	-13.313	0.0438	173.098	0.362	metal
155	Cemetery Gates	0.000212	0.274	422933	0.726	0.0113	9	0.0993	-11.541	0.0449	146.449	0.426	metal
156	Shattered	2.62e-05	0.342	201760	0.82	0.749	1	0.104	-10.91	0.046	119.421	0.525	metal
157	Clash With Reality	7.06e-06	0.297	316507	0.868	0.568	6	0.208	-11.075	0.0436	93.789	0.702	metal
158	Medicine Man	0.0024	0.488	315067	0.847	0.374	6	0.204	-11.921	0.0563	103.61	0.522	metal
159	Message In Blood	0.000178	0.446	309533	0.831	0.105	7	0.403	-12.176	0.0521	83.963	0.55	metal
160	The Sleep	0.018	0.372	347013	0.701	0.00317	9	0.287	-11.145	0.0528	87.964	0.419	metal
161	The Art Of Shredding	0.000128	0.364	258093	0.88	0.806	2	0.287	-11.859	0.0641	118.668	0.435	metal
162	Mouth For War	4.2e-06	0.329	237347	0.954	0.000614	8	0.051	-7.006	0.0722	156.899	0.627	metal
163	A New Level	5.68e-05	0.302	237467	0.868	0.185	9	0.0888	-9.349	0.0688	136.572	0.454	metal
164	Walk	0.000155	0.43	315120	0.704	0.00221	1	0.0933	-8.008	0.0804	118.242	0.703	metal
165	Fucking Hostile	0.000148	0.479	168600	0.96	4.62e-05	6	0.208	-9.551	0.0991	93.867	0.506	metal
166	This Love	0.000312	0.402	393706	0.73	0.323	6	0.103	-9.327	0.0455	104.527	0.296	metal
167	Rise	2.4e-05	0.361	276573	0.885	0.101	11	0.0789	-10.516	0.059	92.524	0.331	metal
168	No Good (Attack The Radical)	9.91e-06	0.328	289760	0.906	0.00786	6	0.129	-10.587	0.0507	96.961	0.501	metal
169	Live In A Hole	3.6e-05	0.338	300373	0.915	0.0983	4	0.309	-9.456	0.0832	123.522	0.32	metal
170	Regular People (Conceit)	9.68e-06	0.3	327533	0.963	0.0076	1	0.0705	-9.451	0.0669	128.777	0.244	metal
171	By Demons Be Driven	3.41e-05	0.383	280333	0.79	0.000551	4	0.0471	-9.937	0.106	140.194	0.321	metal
172	Hollow	9.48e-05	0.273	345733	0.688	0.0504	11	0.051	-10.883	0.0326	100.077	0.347	metal
173	Strength Beyond Strength	0.00023	0.321	218640	0.976	0.0191	0	0.263	-5.815	0.107	106.968	0.369	metal
174	Becoming	0.00104	0.578	185093	0.896	0.00513	0	0.126	-5.699	0.0497	129.843	0.576	metal
175	5 Minutes Alone	0.000748	0.504	347440	0.856	0.359	7	0.114	-6.271	0.0423	95.402	0.585	metal
176	I'm Broken	0.000594	0.419	264800	0.878	0.559	7	0.139	-6.352	0.0553	147.385	0.666	metal
177	Good Friends And A Bottle Of Pills	0.0148	0.53	172933	0.941	0.0411	2	0.0856	-7.155	0.156	111.829	0.164	metal
178	Hard Lines Sunken Cheeks	0.000118	0.295	421467	0.937	0.33	6	0.0717	-7.467	0.0981	100.403	0.208	metal
179	Slaughtered	3.15e-05	0.239	237027	0.964	0.272	4	0.297	-7.452	0.0709	157.387	0.53	metal
180	25 Years	8.04e-05	0.375	365533	0.937	0.0685	9	0.178	-7.281	0.0797	123.857	0.497	metal
181	Shedding Skin	0.000377	0.34	336800	0.967	0.351	4	0.156	-7.505	0.105	108.325	0.407	metal
182	Use My Third Arm	0.000285	0.322	291840	0.983	0.708	2	0.11	-5.591	0.1	120.505	0.08	metal
183	Throes Of Rejection	1.32e-05	0.366	301600	0.936	0.077	6	0.361	-7.639	0.0906	134.315	0.187	metal
184	Planet Caravan	0.721	0.668	243427	0.317	0.432	1	0.143	-15.705	0.0329	85.831	0.348	metal
185	The Great Southern Trendkill	6.04e-05	0.282	226973	0.987	6.01e-05	6	0.354	-5.371	0.193	116.23	0.183	metal
186	War Nerve	6.71e-05	0.321	293360	0.959	0.000462	2	0.322	-5.878	0.0691	109.031	0.473	metal
187	Drag the Waters	0.00413	0.524	295773	0.973	0.00623	2	0.242	-3.642	0.09	125.691	0.532	metal
188	10's	0.000598	0.357	289893	0.812	0.0175	4	0.125	-6.522	0.0445	110.788	0.108	metal
189	13 Steps to Nowhere	6.72e-05	0.33	217507	0.962	1.92e-05	1	0.0584	-4.711	0.175	88.722	0.0935	metal
190	Suicide Note, Pt. 1	0.496	0.253	284627	0.435	0.119	2	0.583	-12.113	0.0324	121.868	0.112	metal
191	Suicide Note, Pt. II	5.19e-05	0.371	259507	0.977	0.0548	2	0.352	-5.269	0.159	112.765	0.123	metal
192	Living Through Me (Hells' Wrath)	0.000165	0.434	290467	0.972	0.000223	2	0.0482	-5.72	0.152	90.73	0.141	metal
193	Floods	0.00268	0.364	419893	0.811	0.0093	11	0.106	-7.237	0.0621	120.758	0.151	metal
194	The Underground in America	0.00122	0.402	273800	0.993	0.000828	1	0.84	-3.887	0.238	92.458	0.0647	metal
195	(Reprise) Sandblasted Skin	0.00012	0.437	339507	0.447	0.108	11	0.369	-5.949	0.0917	89.294	0.0365	metal
196	Hellbound	0.000194	0.307	160960	0.985	0.596	2	0.252	-3.11	0.0837	117.507	0.65	metal
197	Goddamn Electric	0.000515	0.378	296773	0.947	0.00609	6	0.0331	-2.3	0.134	128.195	0.348	metal
198	Yesterday Don't Mean S**t	3.26e-05	0.347	259693	0.991	0.1	6	0.314	-2.444	0.16	146.478	0.449	metal
199	You've Got To Belong To It	0.000208	0.353	253240	0.974	0.0442	1	0.285	-2.298	0.126	99.1	0.185	metal
200	Revolution Is My Name	6.17e-05	0.243	316493	0.988	0.12	8	0.341	-3.485	0.197	89.905	0.277	metal
201	Death Rattle	3.81e-05	0.309	197533	0.992	0.4	1	0.215	-2.748	0.0627	101.523	0.366	metal
202	We'll Grind That Axe For A Long Time	0.000291	0.404	224693	0.992	0.257	9	0.158	-2.378	0.114	145.461	0.373	metal
203	Uplift	0.000196	0.493	225840	0.988	0.0849	2	0.0436	-2.195	0.0927	98.778	0.513	metal
204	It Makes Them Disappear	7.63e-05	0.35	381933	0.95	0.55	1	0.126	-2.386	0.113	129.384	0.302	metal
205	I'll Cast A Shadow	2.45e-05	0.301	319173	0.988	0.231	1	0.191	-2.898	0.173	127.803	0.166	metal
206	Domination	0.000211	0.372	305293	0.888	0.00442	2	0.115	-5.88	0.0943	141.374	0.555	metal
207	Prowler - 1998 Remastered Version	0.00338	0.221	236133	0.934	0.00283	4	0.408	-5.449	0.107	93.21	0.336	metal
208	Sanctuary - 1998 Remastered Version	0.181	0.398	196227	0.967	0.0329	9	0.332	-5.049	0.112	112.522	0.629	metal
209	Remember Tomorrow - 1998 Remastered Version	0.00399	0.264	328573	0.687	0.0391	0	0.149	-7.887	0.0377	97.945	0.552	metal
210	Running Free - 1998 Remastered Version	0.00264	0.464	197227	0.835	0.322	2	0.15	-4.947	0.203	170.829	0.773	metal
211	Phantom Of The Opera - 1998 Remastered Version	0.000135	0.32	427973	0.869	0.115	4	0.472	-5.642	0.0614	109.51	0.519	metal
212	Transylvania - 1998 Remastered Version	0.00178	0.23	259293	0.98	0.961	0	0.455	-4.888	0.143	107.24	0.189	metal
213	Strange World - 1998 Remastered Version	0.0187	0.361	332400	0.509	0.0246	4	0.124	-8.244	0.0324	126.4	0.206	metal
214	Charlotte The Harlot - 1998 Remastered Version	0.0161	0.361	252667	0.941	2e-05	0	0.412	-5.222	0.149	136.28	0.442	metal
215	Iron Maiden - 1998 Remastered Version	0.00093	0.335	216173	0.974	0.0188	0	0.352	-6.169	0.213	101.801	0.311	metal
216	The Ides Of March - 1998 Remastered Version	0.00294	0.299	106133	0.713	0.846	4	0.106	-6.754	0.0375	97.195	0.336	metal
217	Wrathchild - 1998 Remastered Version	0.0121	0.441	175200	0.909	0.377	11	0.167	-6.092	0.0465	104.81	0.783	metal
218	Murders in the Rue Morgue - 1998 Remastered Version	0.00588	0.269	259200	0.892	0.0146	9	0.1	-7.673	0.0527	106.167	0.485	metal
219	Another Life - 1998 Remastered Version	0.000974	0.183	203400	0.936	0.629	2	0.207	-6.389	0.121	184.371	0.683	metal
220	Genghis Khan - 1998 Remastered Version	0.000203	0.295	189293	0.883	0.901	0	0.11	-7.923	0.0442	112.858	0.57	metal
221	Innocent Exile - 1998 Remastered Version	0.000934	0.255	234307	0.918	0.57	0	0.0903	-6.836	0.0599	103.077	0.677	metal
222	Killers - 1998 Remastered Version	0.0043	0.229	301893	0.926	0.00176	9	0.0602	-6.493	0.0945	87.373	0.407	metal
223	Prodigal Son - 1998 Remastered Version	0.0037	0.304	372640	0.636	0.252	9	0.095	-8.151	0.0321	110.224	0.353	metal
224	Purgatory - 1998 Remastered Version	0.000865	0.137	200560	0.955	0.0458	9	0.59	-7.084	0.191	71.012	0.54	metal
225	Twilight Zone - 1998 Remastered Version	0.0503	0.358	153333	0.835	0.713	9	0.261	-6.378	0.0473	95.05	0.86	metal
226	Drifter - 1998 Remastered Version	0.000414	0.305	289867	0.961	0.15	0	0.376	-6.448	0.102	101.445	0.51	metal
227	Invaders - 1998 Remastered Version	0.00661	0.448	204400	0.961	0.000474	4	0.359	-4.342	0.0518	111.459	0.693	metal
228	Children Of The Damned - 1998 Remastered Version	0.00876	0.214	275693	0.824	0.0593	4	0.16	-5.508	0.0451	192.215	0.428	metal
